quote_date,underlying_price
8/10/2009,1005.58
8/11/2009,998.76
8/12/2009,1009.21
8/13/2009,1011.59
8/14/2009,1000.5
8/17/2009,980.06
8/18/2009,989.98
8/19/2009,995.52
8/20/2009,1007.55
8/21/2009,1026.11
8/24/2009,1023.96
8/25/2009,1028.99
8/26/2009,1026.26
8/27/2009,1030.6
8/28/2009,1027.4
8/31/2009,1018.26
9/1/2009,997.77
9/2/2009,997.53
9/3/2009,1000.25
9/4/2009,1014.85
9/8/2009,1024.85
9/9/2009,1031.77
9/10/2009,1042.5
9/11/2009,1044.88
9/14/2009,1048.74
9/15/2009,1052.36
9/16/2009,1067.16
9/17/2009,1066.01
9/18/2009,1069.44
9/21/2009,1064.37
9/22/2009,1071.75
9/23/2009,1068.05
9/24/2009,1051.24
9/25/2009,1044.91
9/28/2009,1061.83
9/29/2009,1062.27
9/30/2009,1054.92
10/1/2009,1034.85
10/2/2009,1026.68
10/5/2009,1040.25
10/6/2009,1053.47
10/7/2009,1056.24
10/8/2009,1065.75
10/9/2009,1070.34
10/12/2009,1074.41
10/13/2009,1073.21
10/14/2009,1092.05
10/15/2009,1093.56
10/16/2009,1089.76
10/19/2009,1097.85
10/20/2009,1091.13
10/21/2009,1082.03
10/22/2009,1092.74
10/23/2009,1077.83
10/26/2009,1067.33
10/27/2009,1065.73
10/28/2009,1044.15
10/29/2009,1063.15
10/30/2009,1040.04
11/2/2009,1042.11
11/3/2009,1043.59
11/4/2009,1048.98
11/5/2009,1064.18
11/6/2009,1068.96
11/9/2009,1090.28
11/10/2009,1092.15
11/11/2009,1096.91
11/12/2009,1085.59
11/13/2009,1093.88
11/16/2009,1107.16
11/17/2009,1109.39
11/18/2009,1107.97
11/19/2009,1095.38
11/20/2009,1093.13
11/23/2009,1104.02
11/24/2009,1104.61
11/25/2009,1110.03
11/27/2009,1091.49
11/30/2009,1095
12/1/2009,1109.12
12/2/2009,1109.33
12/3/2009,1102.83
12/4/2009,1104.21
12/7/2009,1105.01
12/8/2009,1092.64
12/9/2009,1095.25
12/10/2009,1101.69
12/11/2009,1105.59
12/14/2009,1113.43
12/15/2009,1105.83
12/16/2009,1109.66
12/17/2009,1099.22
12/18/2009,1100.13
12/21/2009,1113.45
12/22/2009,1117.3
12/23/2009,1120.24
12/24/2009,1126.48
12/28/2009,1125.85
12/29/2009,1127.51
12/30/2009,1125.25
12/31/2009,1119.64
1/4/2010,1132.12
1/5/2010,1135.59
1/6/2010,1136.91
1/7/2010,1142.16
1/8/2010,1144.28
1/11/2010,1147.76
1/12/2010,1133.15
1/13/2010,1146.71
1/14/2010,1148.82
1/15/2010,1136.29
1/19/2010,1149.06
1/20/2010,1137.91
1/21/2010,1117.53
1/22/2010,1093.91
1/25/2010,1098.32
1/26/2010,1091.83
1/27/2010,1098.17
1/28/2010,1089.28
1/29/2010,1076.93
2/1/2010,1086.89
2/2/2010,1102.63
2/3/2010,1099.03
2/4/2010,1066.29
2/5/2010,1064.54
2/8/2010,1061.98
2/9/2010,1072.15
2/10/2010,1066.91
2/11/2010,1078.04
2/12/2010,1075.1
2/16/2010,1095.67
2/17/2010,1099
2/18/2010,1107.37
2/19/2010,1109.97
2/22/2010,1107.42
2/23/2010,1096.46
2/24/2010,1104.09
2/25/2010,1102.41
2/26/2010,1105.79
3/1/2010,1114.61
3/2/2010,1116.62
3/3/2010,1120.16
3/4/2010,1122.8
3/5/2010,1137.92
3/8/2010,1139.56
3/9/2010,1140.38
3/10/2010,1143.75
3/11/2010,1148.16
3/12/2010,1149.66
3/15/2010,1149.58
3/16/2010,1158.51
3/17/2010,1164.14
3/18/2010,1164.9
3/19/2010,1156.81
3/22/2010,1166.61
3/23/2010,1174.03
3/24/2010,1169.55
3/25/2010,1169.69
3/26/2010,1165.69
3/29/2010,1173.57
3/30/2010,1174
3/31/2010,1169.62
4/1/2010,1175.65
4/5/2010,1185.43
4/6/2010,1189.9
4/7/2010,1180.41
4/8/2010,1187.47
4/9/2010,1192.17
4/12/2010,1195.96
4/13/2010,1198.24
4/14/2010,1209.87
4/15/2010,1210.74
4/16/2010,1195.59
4/19/2010,1194.7
4/20/2010,1207.44
4/21/2010,1205.04
4/22/2010,1209.12
4/23/2010,1214.54
4/26/2010,1213.24
4/27/2010,1188.78
4/28/2010,1191.13
4/29/2010,1206.85
4/30/2010,1188.7
5/3/2010,1156.81
5/4/2010,1156.81
5/5/2010,1156.81
5/6/2010,1156.81
5/7/2010,1156.81
5/10/2010,1156.81
5/11/2010,1156.81
5/12/2010,1156.81
5/13/2010,1156.81
5/14/2010,1156.81
2/21/2007,1457.55
2/22/2007,1455.24
2/23/2007,1452.07
2/26/2007,1448.47
2/27/2007,1402.96
2/28/2007,1408.59
3/1/2007,1403.97
3/2/2007,1391.14
3/5/2007,1378.29
3/6/2007,1394.9
3/7/2007,1395.4
3/8/2007,1402.64
3/9/2007,1403.74
3/12/2007,1405.05
3/13/2007,1380.92
3/14/2007,1383.53
3/15/2007,1392.09
3/16/2007,1387.32
3/19/2007,1401.31
3/20/2007,1410.34
3/21/2007,1433.47
3/22/2007,1433.65
3/23/2007,1436.38
3/26/2007,1436.43
3/27/2007,1430.12
3/28/2007,1419.77
3/29/2007,1423.13
3/30/2007,1420.67
4/2/2007,1424.51
4/3/2007,1438.2
4/4/2007,1439.4
4/5/2007,1443.01
4/9/2007,1445.9
4/10/2007,1448.3
4/11/2007,1439.28
4/12/2007,1446.88
4/13/2007,1452.63
4/16/2007,1467.73
4/17/2007,1471.2
4/18/2007,1474.91
4/19/2007,1470.75
4/20/2007,1482.46
4/23/2007,1482.02
4/24/2007,1480.69
4/25/2007,1496.01
4/26/2007,1495.41
4/27/2007,1492.62
4/30/2007,1485.08
5/1/2007,1486.01
5/2/2007,1495.5
5/3/2007,1501.38
5/4/2007,1503.94
5/7/2007,1509.13
5/8/2007,1507.97
5/9/2007,1512.74
5/10/2007,1492.78
5/11/2007,1504.38
5/14/2007,1502.26
5/15/2007,1503.06
5/16/2007,1512.89
5/17/2007,1513.57
5/18/2007,1521.46
5/21/2007,1525.05
5/22/2007,1525.98
5/23/2007,1524.41
5/24/2007,1505.96
5/25/2007,1515.01
5/29/2007,1518.07
5/30/2007,1528.98
5/31/2007,1531.06
6/1/2007,1535.09
6/4/2007,1539.51
6/5/2007,1531.63
6/6/2007,1520.23
6/7/2007,1495.09
6/8/2007,1506.27
6/11/2007,1510.09
6/12/2007,1494.08
6/13/2007,1513.36
6/14/2007,1524.89
6/15/2007,1532.96
6/18/2007,1532.58
6/19/2007,1534.61
6/20/2007,1517.14
6/21/2007,1521.27
6/22/2007,1500.98
6/25/2007,1497.36
6/26/2007,1493.11
6/27/2007,1505.7
6/28/2007,1507.38
6/29/2007,1501.61
7/2/2007,1517.27
7/3/2007,1524.87
7/5/2007,1524.86
7/6/2007,1531.27
7/9/2007,1532.97
7/10/2007,1510.7
7/11/2007,1516.69
7/12/2007,1545.3
7/13/2007,1554.66
7/16/2007,1548.61
7/17/2007,1550.66
7/18/2007,1541.25
7/19/2007,1552.97
7/20/2007,1533.93
7/23/2007,1542.67
7/24/2007,1509.59
7/25/2007,1517.28
7/26/2007,1478.14
7/27/2007,1469.02
7/30/2007,1474.94
7/31/2007,1461.96
8/1/2007,1455.8
8/2/2007,1470.63
8/3/2007,1444.42
8/6/2007,1460.52
8/7/2007,1483.62
8/8/2007,1482.07
8/9/2007,1465.36
8/10/2007,1454.18
8/13/2007,1459.35
8/14/2007,1430.8
8/15/2007,1412.55
8/16/2007,1406.84
8/17/2007,1446.66
8/20/2007,1447.91
8/21/2007,1448.16
8/22/2007,1463.63
8/23/2007,1460.88
8/24/2007,1479
8/27/2007,1471.54
8/28/2007,1435.81
8/29/2007,1460.26
8/30/2007,1455.31
8/31/2007,1481.47
9/4/2007,1491.06
9/5/2007,1472.07
9/6/2007,1477.97
9/7/2007,1450.95
9/10/2007,1456.64
9/11/2007,1466.08
9/12/2007,1473.25
9/13/2007,1484.06
9/14/2007,1484.74
9/17/2007,1476.57
9/18/2007,1518.24
9/19/2007,1529.84
9/20/2007,1520.8
9/21/2007,1526.88
9/24/2007,1518.11
9/25/2007,1514.99
9/26/2007,1525.63
9/27/2007,1530.91
9/28/2007,1524.98
10/1/2007,1544.04
10/2/2007,1546.34
10/3/2007,1538.09
10/4/2007,1542.68
10/5/2007,1557.17
10/8/2007,1552.12
10/9/2007,1562.74
10/10/2007,1562.96
10/11/2007,1554.6
10/12/2007,1559.7
10/15/2007,1547.27
10/16/2007,1540.42
10/17/2007,1538.09
10/18/2007,1539.78
10/19/2007,1504.93
10/22/2007,1503.28
10/23/2007,1517.9
10/24/2007,1510.92
10/25/2007,1517.4
10/26/2007,1534.97
10/29/2007,1541.08
10/30/2007,1531.8
10/31/2007,1546.47
11/1/2007,1513.89
11/2/2007,1508.58
11/5/2007,1503.18
11/6/2007,1516.74
11/7/2007,1485.86
11/8/2007,1478.54
11/9/2007,1461.37
11/12/2007,1445.88
11/13/2007,1478.12
11/14/2007,1476.26
11/15/2007,1447.25
11/16/2007,1452.4
11/19/2007,1432.39
11/20/2007,1443.01
11/21/2007,1422.85
11/23/2007,1440.7
11/26/2007,1416.75
11/27/2007,1424.46
11/28/2007,1466.99
11/29/2007,1469.65
11/30/2007,1478.68
12/3/2007,1475.48
12/4/2007,1464.09
12/5/2007,1485.29
12/6/2007,1504.56
12/7/2007,1504.28
12/10/2007,1514.54
12/11/2007,1480.94
12/12/2007,1474.32
12/13/2007,1486.13
12/14/2007,1470.82
12/17/2007,1450.95
12/18/2007,1458.87
12/19/2007,1456.28
12/20/2007,1456.82
12/21/2007,1482.99
12/24/2007,1496.45
12/26/2007,1496.68
12/27/2007,1479.11
12/28/2007,1478.11
12/31/2007,1472.94
1/2/2008,1447.91
1/3/2008,1446.82
1/4/2008,1414.58
1/7/2008,1409.22
1/8/2008,1400.25
1/9/2008,1403.83
1/10/2008,1422.32
1/11/2008,1402.93
1/14/2008,1417.02
1/15/2008,1388.02
1/16/2008,1375.45
1/17/2008,1335.76
1/18/2008,1323.5
1/22/2008,1314.72
1/23/2008,1331.85
1/24/2008,1351.07
1/25/2008,1338.05
1/28/2008,1352.54
1/29/2008,1361.35
1/30/2008,1361.1
1/31/2008,1383.26
2/1/2008,1395.63
2/4/2008,1383.8
2/5/2008,1340.48
2/6/2008,1327.62
2/7/2008,1330.57
2/8/2008,1332.72
2/11/2008,1336.4
2/12/2008,1343.03
2/13/2008,1368.41
2/14/2008,1352.15
2/15/2008,1346.43
2/19/2008,1350.67
2/20/2008,1357.68
2/21/2008,1341.63
2/22/2008,1343.47
2/25/2008,1372.11
2/26/2008,1379.79
2/27/2008,1379.76
2/28/2008,1368.09
2/29/2008,1329.51
3/3/2008,1329.02
3/4/2008,1328.09
3/5/2008,1329.28
3/6/2008,1310.19
3/7/2008,1295.54
3/10/2008,1276.38
3/11/2008,1311.71
3/12/2008,1309.51
3/13/2008,1318.98
3/14/2008,1286.83
3/17/2008,1286.3
3/18/2008,1325.25
3/19/2008,1306.06
3/20/2008,1325.39
3/24/2008,1350.34
3/25/2008,1353.39
3/26/2008,1339.37
3/27/2008,1327.67
3/28/2008,1315.3
3/31/2008,1325.9
4/1/2008,1366.91
12/18/2006,1422.21
12/19/2006,1425.54
12/20/2006,1424.79
12/21/2006,1418.37
12/22/2006,1413.57
12/26/2006,1417.69
12/27/2006,1426.48
12/28/2006,1425.74
12/29/2006,1420.87
1/3/2007,1414.67
1/4/2007,1421.03
1/5/2007,1409.9
1/8/2007,1413.5
1/9/2007,1413.91
1/10/2007,1415.88
1/11/2007,1424.45
1/12/2007,1430.59
1/16/2007,1431.59
1/17/2007,1429.93
1/18/2007,1426.15
1/19/2007,1430.26
1/22/2007,1423.86
1/23/2007,1427.02
1/24/2007,1439.46
1/25/2007,1423.35
1/26/2007,1423.36
